,title,date
0,[안내] 연구자를 위한 RefWorks(참고문헌관리도구) 이용교육,2022.09.20
1,[공지] [도서관 갤러리圖 전시] 한국의 유교책판 | 9/15(목) ~ 9/22(목),2022.09.13
2,[안내] 젊은 연구자들을 위한 논문 투고료 지원 사업 안내,2022.09.08
3,[공지] 2022 제5회 도서관 북트레일러 특강 <키네마스터 앱을 활용한 북트레일러 영상제작실습>,2022.09.05
4,[공지] 제2자유열람실 리모델링 기간 중 도서관 운영안내(9/1~9/30예정),2022.09.02
5,[공지] 2022 제5회 도서관 북트레일러 창작공모 (접수기간: 8/29~10/31 까지),2022.08.29
6,[공지] 덕성여대 도서관 모바일학생증 발급 이용 방법,2022.08.18
7,"[공지] 공사 소음발생 안내 (플랭크 및 오스카라운지, 스마트스터디룸)",2022.08.18
8,[공지] 제2자유열람실 리모델링 공사에 따른 일부 공간 통제 및 소음발생 안내,2022.08.02
9,[행사] 제8회 도서관 리베상 안내,2022.07.21
10,[안내] 연구자를 위한 RefWorks(참고문헌관리도구) 이용교육,2022.09.20
11,[공지] [도서관 테라피존 전시] 2022년 독서치료 도서전시 '휴(休)',2022.09.19
12,[안내] 도서관 노트북 사용공간 안내,2022.09.19
13,[안내] 과제도서 안내,2022.09.16
14,[공지] [도서관 갤러리圖 전시] 한국의 유교책판 | 9/15(목) ~ 9/22(목),2022.09.13
15,[공지]도서관 서비스 정상 가동 안내,2022.09.08
16,[안내] 젊은 연구자들을 위한 논문 투고료 지원 사업 안내,2022.09.08
17,[공지] 모바일앱 서버 이관 작업에 따른 도서관 서비스 일시 중지 안내,2022.09.06
18,[공지] 추석연휴 휴관안내,2022.09.05
19,[안내] KSDC DB 온라인 9월 이용교육 안내,2022.09.05
20,[공지] 2022 제5회 도서관 북트레일러 특강 <키네마스터 앱을 활용한 북트레일러 영상제작실습>,2022.09.05
21,[안내] 대학원생을 위한 논문작성법 및 논문 통계 특강,2022.09.05
22,[안내] DBpia 9월 온라인 이용교육 안내,2022.09.05
23,[공지] 제2자유열람실 리모델링 기간 중 도서관 운영안내(9/1~9/30예정),2022.09.02
24,[공지] 'e-컨텐츠 통합검색' 원문 접근 일시중지 안내,2022.09.01
25,[공지] [도서관] 네트워크 절체 작업에 따른 도서관 온라인 서비스 중지 안내,2022.08.31
26,[공지] 2022 제5회 도서관 북트레일러 창작공모 (접수기간: 8/29~10/31 까지),2022.08.29
27,[도서관] 열람과 정기간행물실 계약직원(사서) 채용 공고,2022.08.24
28,[공지] 제32기 도서관 자율위원 모집공고,2022.08.23
29,[공지] 교내 네트워크 절체 작업에 따른 도서관 온라인 서비스 중지 안내,2022.08.22
30,[공지] <수상자발표> 2022 제4회 도서관 북트레일러 창작공모,2022.08.18
31,[공지] 덕성여대 도서관 모바일학생증 발급 이용 방법,2022.08.18
32,[공지] 도서관 사무조교 채용공고,2022.08.18
33,"[공지] 공사 소음발생 안내 (플랭크 및 오스카라운지, 스마트스터디룸)",2022.08.18
34,도서관 서버실 자가발전기 수리로 인한 온라인 서비스 중지 안내,2022.08.11
35,[공지] 광복절 휴관안내(8/15),2022.08.09
36,[공지] 도서관 온라인 서비스 중지 안내,2022.08.05
37,[공지] 제2자유열람실 리모델링 공사에 따른 일부 공간 통제 및 소음발생 안내,2022.08.02
38,[공지] 도서관 휴관안내(2022.08.01.~2022.08.03.),2022.07.26
39,[행사] 제8회 도서관 리베상 안내,2022.07.21
40,[공지] 도서관 대청소 안내,2022.07.08
41,[공지] 제4회 도서관 북트레일러 창작공모,2022.06.30
42,[공지] 도서관 열람과 계약직 사서 채용공고(~ 채용시까지),2022.06.29
43,[공지] PLAy N Create 여름방학 이용자교육 안내,2022.06.27
44,[공지] 여름 방학 도서관 이용 안내,2022.06.17
45,[행사] <수상자 발표> 제50회 독서카페 '책과 함께하는 상상여행' 참여자 대상 독후감 공모,2022.06.15
46,[행사] 2022년 독서치료 프로그램 '대학생의 자기 이해',2022.06.14
47,[행사] 제50회 독서카페 참여자 대상 독후감 공모 안내,2022.06.09
48,2022 제4회 도서관 북트레일러 특강 <북트레일러의 이해와 제작 실습>,2022.06.07
49,[공지] 도서관 열람과 계약직 사서 모집안내(기간연장),2022.06.07
50,[공지] 기말고사 기간 열람실 이용 안내,2022.05.31
51,[이벤트] KISS 논문 열람 룰렛 이벤트 (5월 16일~6월 12일),2022.05.24
52,[공지] 지방선거일 및 현충일 휴관 안내,2022.05.24
53,"[안내] ProQuest 6월 온라인 이용교육 안내(RefWorks, PQDT Global, ProQuest Central, PHP, EBC)",2022.05.24
54,[이벤트] KSDC DB 퀴즈 이벤트 (5월 23일~6월 3일),2022.05.18
55,[공지] 도서관 계약직 사서 모집안내,2022.05.17
56,"[공지] <수상자 발표> 2022 제1회 도서관 사진 공모 「덕성, 도서관과 함께 봄」",2022.05.17
57,[안내] PLAy N Create 이용자 교육 개설 안내,2022.05.13
58,[이벤트] ACS Publications 퀴즈 이벤트 (5월 2일~5월 31일),2022.05.12
59,[안내] Wiley Online Library 5월 온라인 이용교육 안내,2022.05.12
60,[이벤트] PressReader 퀴즈 이벤트 (4월25일~6월10일),2022.05.09
61,[공지] 도서관 계약직 사서 모집안내(기간연장),2022.05.09
62,[공지] <수상자 발표> 2022년 제5회 '차미리사 평전' 독후감 공모,2022.05.09
63,[행사] 제50회 독서카페 '책과 함께하는 상상여행' | 5/27(금) 오후 2시 30분(온라인 병행),2022.05.06
64,[공지] 어린이날 휴관 안내,2022.05.03
65,[공지] 도서관 무인대출기 이용중지 안내,2022.04.28
66,[안내] KSDC DB 온라인 5월 이용교육 안내,2022.04.25
67,[안내] DBpia 5월 온라인 이용교육 안내,2022.04.21
68,"[안내] ProQuest 5월 온라인 이용교육 안내(AVON, Music&Dance, RefWorks, PQC, O'Reilly for Higher education, EBC)",2022.04.21
69,[공지] 2022학년도 1학기 도서관 운영 안내,2022.04.21
70,[행사] <수상자 발표> 제49회 독서카페 '책과 함께하는 상상여행' 참여자 대상 독후감 공모,2022.04.20
71,[공지] 24시간열람실 및 휴게실 개방 안내,2022.04.18
72,[이벤트] ProQuest Historical Periodicals (PHP) 퀴즈 이벤트 (4월 12일 ~ 4월 22일),2022.04.13
73,[공지] 창학기념일 휴관 안내,2022.04.13
74,[이벤트] JSTOR Archive Collections 퀴즈 이벤트 (4월 11일~5월 10일),2022.04.08
75,[안내] 2022년 전자정보 이용안내,2022.04.08
76,[행사] 제49회 독서카페 참여자 대상 독후감 공모 안내,2022.03.29
77,[안내] 대학생을 위한 RISS 이용교육: RISS 100% 활용방법 따라잡기,2022.03.24
78,[안내] DBpia 4월 온라인 이용교육 안내,2022.03.23
79,"2022 제1회 도서관 사진공모 「덕성, 도서관과 함께 봄」",2022.03.23
80,도서관 계약직 사서 모집안내,2022.03.22
81,"[안내] ProQuest 4월 온라인 이용교육 안내(PQC, Music&Dance Online, PsycARTICLES, RefWorks, PHP, Vogue)",2022.03.21
82,[공지] (긴급)제1열람실 공사관련 휴관안내,2022.03.18
83,[공지] 2022학년도 도서관 비교과프로그램 수요조사,2022.03.18
84,[행사] 제49회 독서카페 '책과 함께하는 상상여행' | 3/28(월) 오후 6시(온라인 병행),2022.03.15
85,[안내] Web of Science 3월 온라인 이용교육 안내,2022.03.10
86,[공지] 제20대 대통령선거일 휴관안내,2022.03.07
87,[공지] 제31기 도서관 자율위원 모집공고,2022.03.04
88,[행사] 제5회 「차미리사 평전」 독후감 공모_대상 1명 장학금 100만원,2022.03.04
89,[안내] DBpia 3월 온라인 이용교육 안내,2022.02.25
90,"[안내] ProQuest 3월 온라인 이용교육 안내(RefWorks, AVON, PHP)",2022.02.24
91,"[안내] KSDC DB 온라인 이용교육 안내 (3월, 4월)",2022.02.24
92,2022학년도 1학기 도서관 운영안내,2022.02.23
93,[공지] 삼일절 휴관안내,2022.02.23
94,[홍보] '2022 꼭 알아야 할 청년정책' 자료 배포 안내,2022.02.07
95,[공지] 도서관 사서과 계약직원 채용 공고,2022.02.04
96,[공지] 도서관 사서과/열람과 사무조교 채용(각1명),2022.02.03
97,설 연휴 휴관안내,2022.01.28
98,[공지] <수상자 발표> 2021 제 3회 도서관 북트레일러 창작공모,2022.01.26
99,[이벤트] '빅데이터 분석기사' 자격증 온라인강의 수강권 + 교재 증정 이벤트 안내(마감),2022.01.20
100,겨울방학 중 도서관 이용안내(변경),2022.01.18
101,[공지] 도서관 열람과 계약직원 채용,2022.01.13
102,[공지] 2021 제 3회 도서관 북트레일러 창작공모,2022.01.10
103,[공지] 전자DB 접속 일시중지 알림,2021.12.30
104,[공지] 도서관 열람과 계약직원 채용,2021.12.24
105,[행사] <수상자 발표> 제48회 독서카페 '책과 함께하는 상상여행' 참여자 대상 독후감 공모,2021.12.22
106,[공지] 겨울방학 도서관 이용 안내,2021.12.21
107,[공지] 도서관 방역 패스 적용 안내,2021.12.17
108,[행사] 제7회 리베상 수상자 발표,2021.12.15
109,[안내] 2021 KSDC DB 활용 사례 공모전,2021.12.09
110,[행사] 서동도협 제2회 온라인 독서골든벨 인증샷 이벤트 당첨자 발표,2021.12.01
111,[행사] 제48회 독서카페 참여자 대상 독후감 공모 안내,2021.11.23
112,[행사] 서동도협 제2회 온라인 독서골든벨 수상자 발표,2021.11.22
113,[행사] 서동도협 제2회 온라인 독서골든벨 인증샷 이벤트,2021.11.22
114,[행사] <수상자 발표> 제47회 독서카페 '책과 함께하는 상상여행' 참여자 대상 독후감 공모,2021.11.08
115,[안내] 주라 주라 맞춰주라~ KRpia 퀴즈 이벤트,2021.11.08
116,[행사] 제48회 독서카페 '책과 함께하는 상상여행' | 11/22(월) 오후 6시(온라인 병행),2021.11.04
117,[안내] JoVE 웨비나: 위드코로나 시대 JoVE 활용 방법,2021.11.02
118,[안내] DBpia 회원 부가정보 업데이트 이벤트,2021.11.01
119,[공지] 도서관 PLAy N Create 모바일 앱 예약 안내,2021.10.29
120,[공지] 도서관 정상 개관 안내,2021.10.25
121,[안내] DBpia 11월 온라인 교육,2021.10.22
122,[공지] 도서관 임시 로그인 페이지 운영안내,2021.10.21
123,[공지] 독서치료 도서전시 '휴(休)',2021.10.19
124,[안내] Wiley Digital Textbook Quiz Event,2021.10.18
125,[안내] KISS 도전! 슬기로운 논문 생활 이벤트,2021.10.15
126,[안내] 2021년 RISS · KOCW 활용 실태 조사,2021.10.14
127,[행사] 제47회 독서카페 참여자 대상 독후감 공모 안내,2021.10.13
128,서버 점검 기간 중 도서관 홈페이지 이용제한 안내,2021.10.12
129,[공지] 한글날 대체휴무일 휴관 안내,2021.10.06
130,[안내] 제1자유열람실 개방 안내,2021.10.06
131,[안내] Wiley digital textbook 서비스(trial) 안내,2021.10.06
132,[행사] 서동도협 제2회 온라인 독서골든벨 추가모집 안내,2021.10.05
133,[공지] 도서관 메인 자유열람실 변경 안내,2021.10.01
134,[안내] 비디오 저널 JoVE 하반기 월별 이용교육안내 (10월~12월),2021.09.30
135,[안내] 로앤비(LAWnB) 전자법률 도서관 온라인 이용자 교육 안내,2021.09.30
136,[공지] 도서관 온라인 서비스 일시중지 안내,2021.09.29
137,[공지] 개천절 대체휴무일 휴관 안내,2021.09.29
138,[안내] DBpia X 히든그레이스가 함께하는 논문작성법 교육,2021.09.28
139,[행사] [서동도협] 제2회 온라인 독서골든벨 개최 안내,2021.09.24
140,[안내] DBpia와 함께하는 A+ 리포트 완전정복 (10월 교육 일정),2021.09.24
141,[안내] 2021년 하반기 RefWorks 이용 교육 안내 (9월~12월),2021.09.24
142,[이벤트] KRpia 스탬프 EVENT,2021.09.16
143,[이벤트] 2학기 갓개강을 위한 DBpia의 선물,2021.09.14
144,[공지] 제2자유열람실 연장 개방 안내,2021.09.13
145,[행사] 제47회 독서카페 '책과 함께하는 상상여행' | 10/8(금) 오후 2시 (온라인),2021.09.13
146,[공지] 추석연휴 휴관안내,2021.09.08
147,[공지] 제30기 도서관 자율위원 모집공고(재공고),2021.09.07
148,[행사] [서동도협] 제2회 온라인 독서골든벨 개최 안내,2021.09.07
149,[안내] DBpia user training from A to Z,2021.09.06
150,[안내] DBpia 이용 방법 A to Z (9월 교육 일정),2021.09.01
151,[공지] 2021학년도 도서관 비교과프로그램 수요조사,2021.09.01
152,[공지] 사이트 유지보수 시행 안내,2021.08.31
153,2021-2학기 도서관 이용 안내,2021.08.27
154,도서관 휴관안내,2021.08.18
155,30기 도서관 자율위원 모집공고,2021.08.13
156,[공지] 코로나19 단계별 도서관 운영 계획(2021.07.12부터 2021.10.31까지 시행),2021.08.12
157,[공지] 도서관 계약직 사서 모집안내,2021.08.09
158,[공지] 광복절 대체공휴일 휴관 안내,2021.08.06
159,[홍보] DBpia 회원을 위한 새로운 혜택 & 서비스,2021.08.06
160,[홍보] DBpia UI 개선 안내,2021.08.05
161,[홍보] <한국대학도서관엽합회> 2021년 제7차 Ontact 리더십 워크숍 개최,2021.08.04
162,2021 제 2회 도서관 북트레일러 창작공모 수상자 발표,2021.07.26
163,[홍보] DBpia 여름방학 이벤트,2021.07.20
164,[홍보] DBpia 이용자를 위한 커뮤니티 OPEN,2021.07.20
165,[공지] 제 2회 도서관 북트레일러 창작공모 일정 변경,2021.07.20
166,[공지] 도서관 대청소 안내,2021.07.06
167,[공지] 도서관 단수 안내,2021.06.29
168,[공지] 제 2회 도서관 북트레일러 창작공모,2021.06.28
169,[안내] 졸업생 및 수료생 이용신청서,2021.06.24
170,[행사] <수상자 발표> 제46회 독서카페 '책과 함께하는 상상여행' 참여자 대상 독후감 공모,2021.06.22
171,[공지] 접속 일시중지 알림,2021.06.22
172,[공지] 2021 하계 방학 중 도서관 이용 안내,2021.06.17
173,[공지] [긴급] 홈페이지 로그인 장애관련 안내,2021.06.16
174,[공지] 교내 네트워크 작업으로 인한 접속지연 안내,2021.06.15
175,[공지] 2021년 제 2회 도서관 '북트레일러 제작 온라인 특강',2021.06.15
176,[행사] 2021년 독서치료 프로그램 '대학생의 자아존중감 향상',2021.06.08
177,[홍보] 교보문고X에버랜드 제휴대학 학생 프로모션,2021.06.01
178,[공지] 시험기간 자유열람실 연장 개방 안내,2021.05.25
179,[행사] 제 7회 도서관 리베상 안내,2021.05.24
180,[행사] 제46회 독서카페 참여자 대상 독후감 공모 안내,2021.05.17
181,[안내] A+도서관 활용팁.4. 굿즈 만들러 플랭크 가자!,2021.05.14
182,[행사] <수상자 발표> 2021년 제4회 '차미리사 평전' 독후감 공모,2021.05.10
183,[행사] 도서관 PLAy N Creat와 함께하는 장비체험 : 플랭크와 친구하기,2021.05.06
184,[홍보] 5월 DBpia 이용교육 안내,2021.05.03
185,[행사] 제46회 독서카페 '책과 함께하는 상상여행' | 5/18(화) 오후 4시(온라인 병행),2021.04.30
186,[이벤트] PressReader 퀴즈 이벤트,2021.04.28
187,[공지] 도서관 휴관 안내,2021.04.28
188,[행사] <수상자 발표> 제45회 독서카페 '책과 함께하는 상상여행' 참여자 대상 독후감 공모,2021.04.27
189,[홍보] 누리미디어 DBpia X 히든그레이스가 함께 진행하는 논문 쓰기와 검색 전략 교육,2021.04.20
190,[공지] 창학기념일 휴관 및 자유열람실 이용 안내,2021.04.16
191,[공지] 시험기간 제2열람실 연장 시간 변경 안내,2021.04.15
192,"[이벤트] ""논문은 디비피아(DBpia)"" 이벤트",2021.04.14
193,[공지] 시험기간 제2열람실 연장 개방 안내,2021.04.12
194,"[행사] <추가모집> A+도서관 활용법: e컨텐츠 온라인교육 - KSDC 이용법 (ICAN마일리지 1점, 전공선택활동점수 50점)",2021.04.07
195,[안내] 전자사물함 이용 안내,2021.04.06
196,[안내] A+도서관 활용팁.3. VR랩 콘텐츠 이용하기,2021.04.05
197,[안내] A+도서관 활용팁.2. 2021년 도서관 실별리플릿- 4) PLAy N Creat in Library,2021.04.02
198,"[안내] A+도서관 활용팁.2. 2021년 도서관 실별리플릿- 3) 정기간행물실, 테라피존",2021.04.02
199,"[안내] A+도서관 활용팁.2. 2021년 도서관 실별리플릿- 2) 참고도서실, 전자정보",2021.04.02
200,"[안내] A+도서관 활용팁.2. 2021년 도서관 실별리플릿- 1) 일반도서실, 멀티미디어실, 자유열람실, 스터디룸",2021.04.02
201,[안내] A+도서관 활용팁.2. 2021년 도서관 메인리플릿,2021.04.02
202,[안내] [ProQuest] 2021년 상반기 온라인 이용 교육 안내,2021.04.01
203,[행사] 제45회 독서카페 참여자 대상 독후감 공모 안내,2021.03.31
204,"[행사] A+도서관 활용법: e컨텐츠 온라인교육 - KSDC 이용법 (ICAN마일리지 1점, 전공선택활동점수 50점)",2021.03.30
205,[홍보] DBpia와 함께하는 A+ 리포트 작성법 교육,2021.03.29
206,[안내] A+도서관 활용팁.1. 비대면 강의 어디서 들을까,2021.03.25
207,"[공지] 스마트 스터디룸, 노트북존 개관 안내",2021.03.22
208,[공지] 교보문고 대여형 전자책 서비스 실시,2021.03.18
209,[행사] 제45회 독서카페 '책과 함께하는 상상여행' | 3/31(수) 오후 6시(온라인 병행),2021.03.17
